time:65.0695,vol:241.607
time:65.1766,vol:241.618
time:65.3211,vol:241.66
time:65.4711,vol:241.705
time:65.5745,vol:241.709
time:65.7194,vol:241.715
time:65.8216,vol:241.723
time:65.9747,vol:241.753
time:66.1206,vol:241.823
time:66.2201,vol:241.851
time:66.3741,vol:241.968
time:66.5199,vol:242.17
time:66.6713,vol:242.379
time:66.7749,vol:242.454
time:66.9215,vol:242.556
time:67.0705,vol:242.564
time:67.1753,vol:242.57
time:67.3212,vol:242.59
time:67.4709,vol:242.603
time:67.5763,vol:242.612
time:67.7217,vol:242.627
time:67.8693,vol:242.64
time:67.9706,vol:242.648
time:68.1207,vol:242.672
time:68.2207,vol:242.683
time:68.3206,vol:242.766
time:68.4691,vol:242.819
time:68.5699,vol:242.828
time:68.7201,vol:243.028
time:68.8214,vol:243.834
time:68.9196,vol:247.828
time:69.0699,vol:251.669
time:69.1745,vol:254.019
time:69.3209,vol:257.288
time:69.4699,vol:259.464
time:69.5769,vol:260.461
time:69.72,vol:260.609
time:69.821,vol:260.694
time:69.9207,vol:260.751
time:70.0701,vol:260.763
time:70.1739,vol:260.893
time:70.3203,vol:261.461
time:70.4711,vol:262.594
time:70.5768,vol:263.287
time:70.7216,vol:264.609
time:70.8212,vol:265.342
time:70.9217,vol:266.659
time:71.021,vol:266.729
time:71.1772,vol:267.43
time:71.3196,vol:267.719
time:71.421,vol:267.774
time:71.5222,vol:267.879
time:71.6705,vol:268.034
time:71.7761,vol:268.144
time:71.9203,vol:268.193
time:72.021,vol:268.223
time:72.121,vol:268.312
time:72.27,vol:268.397
time:72.3735,vol:268.434
time:72.5202,vol:268.483
time:72.67,vol:268.529
time:72.7725,vol:268.605
time:72.9195,vol:268.632
time:73.0211,vol:268.636
time:73.1203,vol:268.732
time:73.2698,vol:269.528
time:73.372,vol:270.751
time:73.5198,vol:272.494
time:73.6711,vol:275.885
time:73.774,vol:278.014
time:73.9211,vol:279.184
time:74.0207,vol:279.717
time:74.1208,vol:280.442
time:74.2699,vol:281.344
time:74.3716,vol:281.445
time:74.5196,vol:281.62
time:74.622,vol:281.621
time:74.7204,vol:281.625
time:74.8705,vol:281.872
time:74.9718,vol:282.131
time:75.1208,vol:282.753
time:75.2701,vol:286.305
time:75.3732,vol:291.52
time:75.5206,vol:293.144
time:75.6709,vol:294.035
time:75.7734,vol:295.209
time:75.92,vol:297.382
time:76.0205,vol:299.799
time:76.1765,vol:302.435
time:76.3216,vol:304.02
time:76.4703,vol:305.153
time:76.5797,vol:305.787
time:76.7207,vol:306.377
time:76.8204,vol:307.092
time:76.9776,vol:307.729
time:77.1201,vol:308.257
time:77.2696,vol:308.916
time:77.3737,vol:309.473
time:77.5247,vol:311.657
time:77.6712,vol:315.404
time:77.7754,vol:315.896
time:77.9202,vol:315.961
time:78.0228,vol:316.019
time:78.1215,vol:316.195
time:78.222,vol:316.198
time:78.3821,vol:316.205
time:78.5204,vol:316.208
time:78.6211,vol:316.615
time:78.7792,vol:322.434
time:78.9213,vol:323.654
time:79.071,vol:323.813
time:79.1757,vol:324.037
time:79.3202,vol:324.06
time:79.4707,vol:324.217
time:79.575,vol:324.415
time:79.7221,vol:324.754
time:79.8712,vol:325.619
time:79.9784,vol:327.31
time:80.12,vol:328.076
time:80.272,vol:329.206
time:80.3799,vol:330.799
time:80.5214,vol:332.852
time:80.6702,vol:334.274
time:80.7762,vol:335.461
time:80.9198,vol:336.7
time:81.0203,vol:336.815
time:81.1218,vol:337.225
time:81.2711,vol:338.045
time:81.3772,vol:338.815
time:81.521,vol:339.386
time:81.6718,vol:339.752
