time:31.671,vol:277.968
time:31.8145,vol:278.355
time:31.9142,vol:278.545
time:32.0717,vol:278.895
time:32.2135,vol:279.162
time:32.3147,vol:279.276
time:32.4638,vol:279.353
time:32.6133,vol:279.459
time:32.7185,vol:279.506
time:32.8723,vol:279.6
time:33.0138,vol:279.666
time:33.1132,vol:279.703
time:33.2134,vol:279.778
time:33.3668,vol:279.827
time:33.4733,vol:279.892
time:33.6135,vol:279.919
time:33.714,vol:279.934
time:33.8634,vol:279.967
time:34.0254,vol:280.015
time:34.1636,vol:280.124
time:34.2727,vol:280.244
time:34.4129,vol:280.345
time:34.5138,vol:280.374
time:34.614,vol:280.385
time:34.7632,vol:280.386
time:34.8725,vol:280.422
time:35.0142,vol:280.434
time:35.1636,vol:280.558
time:35.2811,vol:280.908
time:35.4127,vol:281.417
time:35.5639,vol:282.143
time:35.6727,vol:283.063
time:35.8134,vol:284.075
time:35.9148,vol:284.58
time:36.0811,vol:286.21
time:36.2196,vol:287.76
time:36.363,vol:289.015
time:36.4737,vol:290.461
time:36.6132,vol:291.592
time:36.7131,vol:292.198
time:36.8656,vol:293.233
time:36.963,vol:293.671
time:37.1143,vol:294.545
time:37.272,vol:295.55
time:37.4148,vol:296.539
time:37.5205,vol:297.231
time:37.669,vol:298.879
time:37.8177,vol:300.267
time:37.9636,vol:301.681
time:38.0724,vol:303.045
time:38.2132,vol:304.522
time:38.3632,vol:305.932
time:38.4771,vol:307.587
time:38.6226,vol:309.41
time:38.7633,vol:311.071
time:38.8691,vol:312.798
time:39.0148,vol:313.929
time:39.1134,vol:314.826
time:39.2651,vol:316.405
time:39.3863,vol:318.29
time:39.514,vol:320.178
time:39.6642,vol:322.803
time:39.7637,vol:324.768
time:39.866,vol:329.174
time:40.0214,vol:330.861
time:40.1638,vol:333.643
time:40.2757,vol:335.43
time:40.4135,vol:337.669
time:40.5144,vol:338.951
time:40.6155,vol:340.43
time:40.7637,vol:342.729
time:40.8765,vol:344.121
time:41.013,vol:345.14
time:41.1634,vol:345.582
time:41.2885,vol:346.424
time:41.4162,vol:347.156
time:41.5668,vol:348.224
time:41.6673,vol:348.77
time:41.8159,vol:349.103
time:41.9632,vol:349.703
time:42.0668,vol:350.433
time:42.2134,vol:351.676
time:42.3636,vol:352.849
time:42.4784,vol:354.031
time:42.6137,vol:355.131
time:42.7634,vol:356.381
time:42.8712,vol:357.953
time:43.0131,vol:359.303
time:43.1345,vol:360.187
time:43.2764,vol:362.382
time:43.4136,vol:364.024
time:43.5639,vol:364.999
time:43.715,vol:365.653
time:43.8642,vol:366.044
time:43.9636,vol:366.183
time:44.1134,vol:366.274
time:44.2145,vol:366.35
time:44.3655,vol:366.427
time:44.4697,vol:366.576
time:44.6146,vol:366.638
time:44.7643,vol:366.713
time:44.8716,vol:366.769
time:45.0184,vol:366.816
time:45.1631,vol:366.835
time:45.2716,vol:366.889
time:45.4139,vol:367.016
time:45.5138,vol:367.057
time:45.6647,vol:367.232
time:45.7636,vol:367.387
time:45.8675,vol:367.436
time:46.0169,vol:367.457
time:46.1631,vol:367.501
time:46.2775,vol:367.536
time:46.4135,vol:367.569
time:46.5658,vol:368.128
time:46.6654,vol:369.907
time:46.8144,vol:372.265
time:46.9142,vol:372.89
time:47.0147,vol:375.795
time:47.1642,vol:378.423
time:47.2675,vol:380.881
time:47.4128,vol:382.194
time:47.563,vol:383.77
time:47.6637,vol:384.96
time:47.8162,vol:387.34
time:47.9143,vol:388.328
time:48.0788,vol:389.534
time:48.2132,vol:392.566
time:48.3146,vol:392.991
time:48.4291,vol:394.846
time:48.5633,vol:396.902
time:48.6659,vol:398.963
time:48.8179,vol:400.823
time:48.9637,vol:401.896
